"S/N","STATE","CONSTITUENCY","PARTY","POSITION","CANDIDATE_NAME","PWD","AGE","GENDER","QUALIFICATIONS","REMARKS"
TECHNOLOGY",""
"678","KOGI","KOGI WEST","YPP","Senate","OBITOMI VANCE AYODELE","None","35","M","FSLC SSCE BSC",""
"679","KOGI","KOGI CENTRAL","ZLP","Senate","SULEIMAN FATIMOH","None","48","F","WAEC",""
"680","KWARA","KWARA SOUTH","A","Senate","ONIJALA OLUTOLA JOHN","None","69","M","SSC BACHELOR OF",""
ARTS",""
"681","KWARA","KWARA NORTH","AA","Senate","JIBRIN MOHAMMED  BAKO","None","37","M","F.S.L.C  NABTEB",""
"682","KWARA","KWARA CENTRAL","AA","Senate","ISMAILA AKEEM","None","43","M","F.L.S.C NABTEB",""
"683","KWARA","KWARA SOUTH","AA","Senate","YUSUF OLALEKAN","None","35","M","F.L.S.C WAEC",""
"","","","","","ABDULAKEEM","","","","",""
"684","KWARA","KWARA NORTH","ADC","Senate","BIO HON ALIRU","None","51","M","",""
"685","KWARA","KWARA CENTRAL","ADC","Senate","ABDULRAHEEM ABOLARIN,","None","43","M","PRIMARY SCHOOL",""
"","","","","","ABUBAKAR","","","","CERTIFICATE SSCE",""
DIPLOMA, PUBLIC",""
ADMIN",""
"686","KWARA","KWARA SOUTH","ADC","Senate","AJADI MAKANJUOLA","None","65","M","SCHOOL LEAVING",""
"","","","","","SULEIMAN","","","","CERTIFICATE WASC",""
university of ibadan",""
"687","KWARA","KWARA CENTRAL","ADP","Senate","ABDULLAHI GAMIYU","None","51","M","SSCE",""
"688","KWARA","KWARA SOUTH","ADP","Senate","BALOGUN MOHAMMED","None","53","M","",""
"","","","","","ABDULLAHI","","","","",""
"689","KWARA","KWARA NORTH","ADP","Senate","TEMAKO NAOMI","None","42","F","FLSC SSCE NCE",""
"690","KWARA","KWARA NORTH","APC","Senate","UMAR SADIQ SULEIMAN","None","52","M","LEAVING CERTIFICATE",""
WASC B. PHARM.",""
MASTER RM & DEV.",""
STU",""
"691","KWARA","KWARA CENTRAL","APC","Senate","MUSTAPHA SALIU","None","49","M","PSLCE SSCE ND",""
"692","KWARA","KWARA SOUTH","APC","Senate","ASHIRU OYELOLA YISA","None","67","M","IYERU OKIN AFRICAN",""
PRY ESIE ILUDUN",""
GRAMMAR SCHOOL",""
UNIVERSITY OF",""
LAGOS",""
"693","KWARA","KWARA NORTH","APM","Senate","LALA ADEDIMEJI SAMUEL","None","52","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE BSC",""
"694","KWARA","KWARA SOUTH","APM","Senate","AJAYI OLAYEMI IBIDEMI","None","52","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE HIGHER",""
NATIONAL DIPLOMA",""
"695","KWARA","KWARA CENTRAL","APM","Senate","ANJORIN JOHN TEMITAYO","None","40","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WEST AFRICAN",""
EXAMINATION",""
COUNCIL NATIONAL",""
DIPLOMA",""
"696","KWARA","KWARA CENTRAL","APP","Senate","IBRAHIM GANIYAT","None","36","F","B.SC",""
"","","","","","ADERONIKE","","","","",""
"697","KWARA","KWARA SOUTH","APP","Senate","OGUNSOLA FEYISAYO","None","62","M","FIRST SCHOOL",""
LIVING CERTIFICATE",""
SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
GRADE II TEACHERS",""
CERTIFICATE",""
"698","KWARA","KWARA NORTH","APP","Senate","OLABISI LATEEF BELLO","None","53","M","SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
OND PUBLIC",""
ADMINISTRATION",""
"699","KWARA","KWARA CENTRAL","LP","Senate","AKANBI  UMAR FAROOQ","None","60","M","",""
"700","KWARA","KWARA SOUTH","LP","Senate","ABIDOYE OLAGUNJU","None","35","M","FSLC WAEC/GCE",""
"701","KWARA","KWARA NORTH","LP","Senate","MOSES REBECCA O NOACE","None","55","F","FSLC WAEC/GCE",""
"702","KWARA","KWARA CENTRAL NNPP","","Senate","AIYELABEGAN KAYODE","None","46","M","PRIMARY LEAVING",""
"","","","","","ABDUL","","","","CERTIFICATE SSCE",""
"703","KWARA","KWARA SOUTH","NNPP","Senate","ELDER  SAMUEL AYALEYE","None","54","M","PRIMARY LEAVING",""
CERTIFICATE SSCE",""
"704","KWARA","KWARA NORTH","NNPP","Senate","KOLO BABA JIYA","None","56","M","PRIMARY LEAVING",""
CERTIFICATE SSCE",""
DIPLOMA",""
"705","KWARA","KWARA CENTRAL NRM","","Senate","ADEPOJU DAVIDSON","None","44","M","B.Sc",""
"","","","","","ADEKUNLE","","","","",""
"706","KWARA","KWARA SOUTH","NRM","Senate","POPOOLA KEHINDE","None","36","F","NECO B.Sc",""
"","","","","","AYOOLA","","","","",""
"707","KWARA","KWARA NORTH","NRM","Senate","OGHOUFO","None","51","M","FIRST SCHOOL",""
"","","","","","OGHENERUONA KINGSLEY","","","","LEAVING CERTIFICATE",""
SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
B.Sc",""
"708","KWARA","KWARA SOUTH","PDP","Senate","IBRAHIM RAFIU ADEBAYO","None","55","M","FSLC GCE PhD",""
"709","KWARA","KWARA CENTRAL","PDP","Senate","ABDULLAHI BOLAJI","None","52","M","FSLC GCE B.Sc",""
"","","","","","GANIYU","","","","",""
"710","KWARA","KWARA NORTH","PDP","Senate","ISA BAWA ADAMU","None","51","M","FSLC GCE MBA",""
"711","KWARA","KWARA CENTRAL","SDP","Senate","APAOKAGI RIDWAN","None","49","M","WAEC",""
"","","","","","SALAHUDEEN","","","","",""
"712","KWARA","KWARA NORTH","SDP","Senate","ABDULKADIR ATTAHIRU","None","45","M","B.SC BUSINESS",""
"","","","","","ADAMU","","","","ADMIN",""
"713","KWARA","KWARA SOUTH","SDP","Senate","SULAIMAN OLAWALE","None","51","M","FLSC WAEC MD/MSC",""
"","","","","","ADENIYI  RAFIU","","","","",""
"714","KWARA","KWARA SOUTH","YPP","Senate","ABRAHAM OLANREWAJU","None","51","M","FSLC WAEC BSC",""
"","","","","","PETER","","","","",""
"715","KWARA","KWARA NORTH","ZLP","Senate","IDRIS HALIRU USMAN","None","62","M","NECO",""
"","Lagos State","","","","","","","","",""
"716","LAGOS","LAGOS WEST","A","Senate","JAMES CHARLES","None","58","M","GRADE 2 TEACHER'S",""
"","","","","","KOLAWOLE","","","","CERTIFICATE",""
"717","LAGOS","LAGOS EAST","A","Senate","IMUMOLEN EHIJELE","None","40","M","BACHELOR OF",""
"","","","","","BENEDICT","","","","SCIENCE EDUCATION",""
"718","LAGOS","LAGOS CENTRAL","ADC","Senate","IDOWU ABAYOMI","None","65","M","FIRST SCHOOL",""
"","","","","","OMOTAYO","","","","LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
BACHELOR DEGREE",""
"719","LAGOS","LAGOS WEST","ADC","Senate","OGIDI MUHAMMED","None","60","M","FIRST SCHOOL",""
"","","","","","MUTAIRU","","","","LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
BACHELOR DEGREE",""
"720","LAGOS","LAGOS EAST","ADC","Senate","ASHIRU GEORGE","None","56","M","FIRST SCHOOL",""
"","","","","","OLALEKAN HONEY","","","","LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
BACHELOR DEGREE",""
"721","LAGOS","LAGOS WEST","ADP","Senate","OLAOJO  OLUFEYIKEMI","None","44","F","FSLC SSCE mba",""
"722","LAGOS","LAGOS EAST","APC","Senate","ABIRU MUKHAIL","None","58","M","PRIMARY SCHOOL",""
"","","","","","ADETOKUNBO","","","","CERTIFICATE WASC",""
(O'LEVELS) & WASC",""
(A'LEVELS) B.Sc",""
ECONOMICS",""
"723","LAGOS","LAGOS WEST","APC","Senate","ADEBULE IDIAT OLURANTI","None","51","F","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WASC/SSCE B.A (ED)",""
ISLAMIC STUDIES",""
"724","LAGOS","LAGOS CENTRAL","APC","Senate","SANNI WASIU ESHILOKUN","None","61","M","FIRST SCHOOL",""
LEAVING",""
CERTIFICATE WASC",""
(FIRST DIVISION) B",""
AGRIC (Hons)",""
"725","LAGOS","LAGOS EAST","BP","Senate","OLOWOLAYEMO TEMITOPE","None","52","F","Primary Leaving",""
"","","","","","TEMITAYO","","","","Certificate WASC B.A",""
ED",""
"726","LAGOS","LAGOS CENTRAL","BP","Senate","BOLARIN TUNDE","None","63","M","Primary School",""
Certificate WASC BSC",""
Sociology",""
"727","LAGOS","LAGOS WEST","BP","Senate","OGUNLEGAN AKINTOMIDE","None","48","M","Primary Leaving",""
"","","","","","OLUMIDE","","","","Certificate WASC BSE",""
"728","LAGOS","LAGOS WEST","NNPP","Senate","DABIRI MUSTAPHA","None","53","M","FSLC SSCE",""
"","","","","","OLADAPO","","","","",""
"729","LAGOS","LAGOS CENTRAL","NNPP","Senate","OLOKE RAPHAEL","None","42","M","SSCE",""
"730","LAGOS","LAGOS EAST","NNPP","Senate","LAWAL NURUDEEN","None","41","M","FSLC SSCE",""
"","","","","","FOLOHUNSHO","","","","",""
"731","LAGOS","LAGOS WEST","NRM","Senate","OLOKOR  ANTHONY","None","48","M","WAEC B.SC",""
"","","","","","NELSON","","","","",""
"732","LAGOS","LAGOS CENTRAL","NRM","Senate","OWOBIYI FRANCIS","None","38","M","LLB",""
"","","","","","ADEKUNLE","","","","",""
"733","LAGOS","LAGOS EAST","NRM","Senate","EDIALE O. CHRISTOPHER","None","56","M","WAEC B.SC",""
"734","LAGOS","LAGOS WEST","PDP","Senate","ADEWALE SEGUN SUNDAY","None","56","M","FSLC GCE B.Sc",""
"735","LAGOS","LAGOS CENTRAL","PDP","Senate","GOMEZ ADEWALE FRANCIS None","","65","M","SSCE",""
"736","LAGOS","LAGOS EAST","PDP","Senate","AKOBADA  NICHOLAS","None","54","M","WASSC B.Sc",""
"","","","","","ADEKUNLE","","","","",""
"737","LAGOS","LAGOS WEST","SDP","Senate","OSUNDOLIRE TOLULOPE","None","48","F","WEAC",""
"738","LAGOS","LAGOS EAST","SDP","Senate","OLUWARANMILOW","None","46","M","WEAC",""
"","","","","","MAYOWA","","","","",""
"739","LAGOS","LAGOS CENTRAL","SDP","Senate","ADELAJA ADEYINKA","None","48","M","WEAC",""
"740","LAGOS","LAGOS CENTRAL","YPP","Senate","OLADEJI BLESSING TUNDE","None","39","M","WAEC BSC,MASTERS",""
"741","LAGOS","LAGOS EAST","YPP","Senate","OBADIARU CHARLES","None","66","M","FSLC WAEC",""
"","","","","","IMUENOGHOMWEN","","","","",""
"742","LAGOS","LAGOS CENTRAL","ZLP","Senate","OJI PRINCESS BLESSING","None","35","F","BSC",""
"743","LAGOS","LAGOS WEST","ZLP","Senate","EMEREOLE  ANTHONY","None","48","M","FEDEAL",""
POLYTECHNIC2",""
"","Nasarawa State","","","","","","","","",""
"744","NASARAWA","NASSARAWA","A","Senate","KYARI STEPHEN","None","36","M","FSLC SSC",""
"","","SOUTH","","","","","","","",""
"745","NASARAWA","NASSARAWA","A","Senate","JOHN ARANESHRI PAUL","None","40","M","FSLC  L.L.B.",""
"","","NORTH","","","","","","","",""
"746","NASARAWA","NASSARAWA","ADC","Senate","JATO JUSTICE","None","45","M","",""
"","","WEST","","","","","","","",""
"747","NASARAWA","NASSARAWA","ADC","Senate","MUSA ABUBAKAR","None","46","M","",""
"","","SOUTH","","","","","","","",""
"748","NASARAWA","NASSARAWA","ADC","Senate","AJAGABOGO CHARITY","None","48","F","FSLC SSCE HND",""
"","","NORTH","","","","","","","",""
"","","","","","","Deaf/","","","",""
"749","NASARAWA","NASSARAWA","APC","Senate","AL-MAKURA UMARU","","68","M","FLSC GRADE II",""
"","","","","","","Dumb","","","",""
"","","SOUTH","","","TANKO","","","","TEACHER A B U ZARIA",""
[B. ED]",""
"750","NASARAWA","NASSARAWA","APC","Senate","ENVULU ANZA DANLADI","None","65","M","FSLC SSCE",""
"","","NORTH","","","UMAR HALILU","","","","LL.B,B.L,[LAGOS]LL.M",""
"751","NASARAWA","NASSARAWA","APC","Senate","TUKUR SHEHU AHMED","None","53","M","FLSC GCE B.TECH/M.",""
"","","WEST","","","","","","","TECH",""
"752","NASARAWA","NASSARAWA","APGA","Senate","YUSUFU ALFA TSENYA","None","56","M","FSLC WAEC PH.D",""
"","","NORTH","","","","","","","",""
"753","NASARAWA","NASSARAWA","LP","Senate","ODELA BAWA ELAYO","None","56","M","FSLC WAEC/GCE",""
"","","SOUTH","","","","","","","",""
"754","NASARAWA","NASSARAWA","LP","Senate","IBRAHIM MUSA WEN","None","63","M","FSLC WASC B. A",""
"","","NORTH","","","","","","","",""
"755","NASARAWA","NASSARAWA","LP","Senate","BALA TONGURMA","None","37","M","FSLC WAEC/GCE LLB",""
"","","WEST","","","","","","","Law",""
"756","NASARAWA","NASSARAWA","NNPP","Senate","DANBOYI JOHN MASGIEL","None","59","M","PRIMARY LEAVING",""
"","","NORTH","","","","","","","CERTIFICATE WAEC",""
HND",""
"757","NASARAWA","NASSARAWA","NNPP","Senate","ABDULLAHI MUSA","None","59","M","PRIMARY LEAVEN",""
"","","SOUTH","","","","","","","CERTIFICATE SSCE",""
"758","NASARAWA","NASSARAWA","NNPP","Senate","WAKILI KABIRU","None","54","M","PRIMARY LEAVEN",""
"","","WEST","","","","","","","CERTIFICATE WAEC",""
"759","NASARAWA","NASSARAWA","NRM","Senate","YOHANNA ABIMIKU","None","35","M","FIRST SCHOOL",""
"","","NORTH","","","","","","","LEAVING CERTIFICATE",""
SSCE (WAEC)",""
DIPLOMA",""
"760","NASARAWA","NASSARAWA","NRM","Senate","IDRIS MUSA ALIYU","None","35","M","FIRST SCHOOL",""
"","","SOUTH","","","","","","","LEAVING CERTIFICATE",""
NECO B.Sc",""
"761","NASARAWA","NASSARAWA","PDP","Senate","UMAR MUSA GALADIMA","None","56","M","FSLC NECO",""
"","","WEST","","","","","","","",""
"762","NASARAWA","NASSARAWA","PDP","Senate","ABOKI NATHANIEL OBIN","None","52","M","FSLC WASC B.SC, MBA",""
"","","NORTH","","","","","","","",""
"763","NASARAWA","NASSARAWA","PDP","Senate","ONAWO MOHAMMED","None","70","M","FSLC GRADE II",""
"","","SOUTH","","","OGOSHI","","","","CERTIFICATE",""
NIGERIAN DEFENCE",""
ACADEMY",""
"764","NASARAWA","NASSARAWA","PRP","Senate","UMAR AYUBA WAKAYI","None","64","M","BSC BUSINESS",""
"","","NORTH","","","","","","","ADMIN",""
"765","NASARAWA","NASSARAWA","SDP","Senate","ALIYU WADADA AHMED","None","57","M","FLSC SSCE HND",""
"","","WEST","","","","","","","",""
"766","NASARAWA","NASSARAWA","SDP","Senate","AKWASHIKA GODIYA","None","49","M","FSLC SSCE BSC",""
"","","NORTH","","","","","","","",""
"767","NASARAWA","NASSARAWA","SDP","Senate","ALLU ADAMU MUAZU","None","55","M","FSLC SSCE BSC",""
"","","SOUTH","","","","","","","",""
"768","NASARAWA","NASSARAWA","YPP","Senate","YOHANA USMAN","None","38","M","FSLC NABTEB",""
"","","NORTH","","","","","","","",""
"769","NASARAWA","NASSARAWA","ZLP","Senate","OGAH CLETUS","None","45","M","WAEC",""
"","","SOUTH","","","","","","","",""
"770","NASARAWA","NASSARAWA","ZLP","Senate","UMARU JOHN KYUNE","None","44","M","NECO B.TECH",""
"","","NORTH","","","","","","","SURVEYING",""
"771","NASARAWA","NASSARAWA","ZLP","Senate","JIBRIL SANI SHEHU","None","42","M","OND",""
"","","WEST","","","","","","","",""
"","Niger State","","","","","","","","",""
"772","NIGER","NIGER NORTH","A","Senate","MOHAMMED USMAN","None","35","M","SSC",""
"773","NIGER","NIGER EAST","A","Senate","AMINU HALIDU","None","36","M","SSC",""
"774","NIGER","NIGER SOUTH","ADC","Senate","USMAN ALHAJI NDATSU","None","58","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE HND",""
"775","NIGER","NIGER NORTH","ADC","Senate","MUSA YAKUBU","None","54","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
VOCATIONAL",""
TRAINING CENTRE",""
"","","","","","","Albinism","","","",""
"776","NIGER","NIGER EAST","ADC","Senate","GIWA ALHAJI MUSA","","68","M","FIRST SCHOOL",""
"","","","","","USMAN","","","","LEAVING CERTIFICATE",""
HIGHER ELEMENTARY",""
SCHOOL CERTIFICATE",""
BSC",""
"777","NIGER","NIGER EAST","ADP","Senate","DANLADI LOYIN","None","44","M","FSLC SECONDARY",""
"","","","","","EMMANUEL","","","","SCHOOL CERTIFICATE",""
"778","NIGER","NIGER SOUTH","ADP","Senate","GIWA JIBRIN","None","54","M","FSLC SECONDARY",""
SCHOOL CERTIFICATE",""
NCE",""
"779","NIGER","NIGER NORTH","ADP","Senate","ADAMU MOHAMMED","None","60","M","SECONDARY",""
"","","","","","TANIMU","","","","SCHOOL CERTIFICATE",""
DIPLOMA",""
"780","NIGER","NIGER SOUTH","APC","Senate","BIMA MUHAMMAD ENAGI","None","62","M","",""
"781","NIGER","NIGER NORTH","APC","Senate","SANI BELLO ABUBAKAR","None","54","M","FSLC NIGERIA",""
MILITARY SCHOOL",""
ZARIA",""
"782","NIGER","NIGER EAST","APC","Senate","MUSA MOHAMMED SANI","None","57","M","FIRST LEAVING",""
SCHOOL CERTIFICATE",""
GCE B.SC/ PGD",""
"783","NIGER","NIGER SOUTH","APGA","Senate","ABUBAKAR  MOHAMMED","None","42","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WASSCE BACHELORS",""
DEGREE",""
"784","NIGER","NIGER NORTH","APGA","Senate","SANI WUSHISHI SULE","None","42","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WASSCE HND",""
"785","NIGER","NIGER EAST","APGA","Senate","MOHAMMED  ADAMU","None","41","M","FSLC WASSCE OND",""
"786","NIGER","NIGER SOUTH","APP","Senate","UMAR FATIMA","None","46","F","FSLC WASSCE",""
"787","NIGER","NIGER EAST","APP","Senate","BAWA DANLADI","None","61","M","SSCE",""
"788","NIGER","NIGER EAST","LP","Senate","IBRAHIM ADAMU BAGUDI","None","58","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
HIGHER ELEMENTARY",""
GRADE 2 TEACHERS",""
CERTIFICATE",""
"789","NIGER","NIGER SOUTH","LP","Senate","MOHAMMED AISHA","None","35","F","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
GCE",""
"790","NIGER","NIGER EAST","NNPP","Senate","DANLADI UMAR","None","67","M","PRIMARY LEAVING",""
"","","","","","ABDULRAHAMEED","","","","CERTIFICATE SSCE",""
"791","NIGER","NIGER NORTH","NNPP","Senate","WALI IBRAHIM","None","56","M","PRIMARY",""
CERTIFICATE SSCE",""
"792","NIGER","NIGER SOUTH","NNPP","Senate","ABU ADAMU ALFA","None","65","M","PRIMARY",""
CERTIFICATE SSCE",""
BS.C, MBA",""
"793","NIGER","NIGER EAST","NRM","Senate","MOHAMMED MOHAMMED  None","","36","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC & NECO B.Sc",""
Edu/Economics",""
"794","NIGER","NIGER NORTH","NRM","Senate","IBRAHIM MUHAMMAD","None","54","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC",""
"795","NIGER","NIGER SOUTH","NRM","Senate","GALADIMA ALHAJI BABA","None","65","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WEST AFRICA",""
SCHOOL CERTIFICATE",""
NATIONAL DIPLOMA",""
"796","NIGER","NIGER EAST","PDP","Senate","ISIYAKU IBRAHIM (SAN)","None","65","M","FSLC SSCE BSC",""
"797","NIGER","NIGER SOUTH","PDP","Senate","JIYA PETER NDALIKALI","None","64","M","FSLC SSCE BSC",""
"798","NIGER","NIGER NORTH","PDP","Senate","SHEHU MOHAMMED","None","46","M","FSLC SSCE BSC",""
"","","","","","ABDULLAHI","","","","",""
"799","NIGER","NIGER NORTH","PRP","Senate","BUHARI ALHAJI HARUNA","None","59","M","FIRST SCHOOL",""
"","","","","","MK","","","","LEAVING",""
CERTIFICATE WAEC",""
SCHOOL CERTIFICATE",""
HND URBAN AND",""
REGIONAL PLANNING",""
"800","NIGER","NIGER SOUTH","PRP","Senate","MUHAMADU  BALA FARUK","None","56","M","PRIMARY SCHOOL",""
CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
"801","NIGER","NIGER SOUTH","SDP","Senate","SULEIMAN  AISHETU","None","46","F","FIRST SCHOOL",""
LEAVING CERT",""
SECONDARY SCHOOL",""
CERT",""
"802","NIGER","NIGER NORTH","SDP","Senate","SAMA'ILA YAHAYA","None","44","M","PRIMARY EDUCATION",""
CERTIFICATE SSCE",""
"803","NIGER","NIGER EAST","SDP","Senate","ALIYU YAKUBU IBRAHIM","None","41","M","PRIMARY EDUCATION",""
CERTIFICATE SENIOR",""
SECONDARY SCHOOL",""
CERT NATIONAL",""
DIPLOMA",""
"804","NIGER","NIGER NORTH","ZLP","Senate","TAMAHA JOHN CIGASHI","None","65","M","BACHELOR OF",""
SCIENCE",""
"805","NIGER","NIGER SOUTH","ZLP","Senate","MAMMAN JAMES","None","36","M","HND",""
"","","","","","BABADAWA","","","","",""
"806","NIGER","NIGER EAST","ZLP","Senate","JUDE JOHNSON","None","38","M","WEST AFRICAN",""
SCHOOL CERTIFICATE",""
"807","OGUN","OGUN CENTRAL","ADC","Senate","OGUNJOBI IBUKUNOLU","None","60","M","",""
"808","OGUN","OGUN EAST","ADC","Senate","ADEBANJO ADENIYI","None","48","M","",""
"809","OGUN","OGUN WEST","ADC","Senate","OPALEYE ALANI MICHAEL","None","72","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
"810","OGUN","OGUN CENTRAL","ADP","Senate","HASSAN OLALEKAN  WASIU None","","57","M","FLSC SCHOOL WASC",""
HND",""
"811","OGUN","OGUN WEST","ADP","Senate","ISAAC ERUANUBARE","None","62","M","FLSC SCHOOL WASC",""
"","","","","","JEWEMEN","","","","B.SC",""
"812","OGUN","OGUN EAST","ADP","Senate","IDRIS OLUFUNMILAYOMI","None","50","F","FLSC SCHOOL WASC",""
"","","","","","ADETUTU","","","","B.SC",""
"813","OGUN","OGUN WEST","APC","Senate","ADEOLA SOLOMON","None","52","M","LEAVING CERTIFICATE",""
"","","","","","OLAMILEKAN","","","","SSCE HND",""
"814","OGUN","OGUN EAST","APC","Senate","DANIEL JUSTUS","None","66","M","G2 WASC B.SC, MBA",""
"","","","","","OLUGBENGA","","","","",""
"815","OGUN","OGUN CENTRAL","APC","Senate","SALISU SHUAIB AFOLABI","None","58","M","PRIMARY SCHOOL",""
LEAVING CERTIFICATE",""
WASC B.SC, MBA,",""
M.SC",""
"816","OGUN","OGUN CENTRAL","APM","Senate","OLAYIWOLA OLAWALE","None","44","M","FIRST SCHOOL",""
"","","","","","AFEEZ","","","","LEAVING CERTIFICATE",""
WAEC/GCE",""
"817","OGUN","OGUN EAST","APM","Senate","LAWAL YUSUF","None","41","M","FIRST SCHOOL",""
"","","","","","OLANREWAJU","","","","LEAVING CERTIFICATE",""
WAEC BSC",""
"818","OGUN","OGUN WEST","APP","Senate","AKEEB OLANIYI SAEED","None","62","M","FIRST SCHOOL",""
"","","","","","BISIOLU","","","","LEAVING CERTIFICATE",""
SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
B.SC  ECONOMICS",""
"819","OGUN","OGUN CENTRAL","APP","Senate","KERIPE ESTHER.","None","60","F","FIRST SCHOOL",""
"","","","","","OLUFUNMILAYO","","","","LEAVING CERTIFICATE",""
WAEC HND (PUBLIC",""
HEALTH NURSING)",""
"820","OGUN","OGUN EAST","APP","Senate","OSIYOYE OLUWATOSIN","None","37","F","FIRST SCHOOL",""
"","","","","","BALIKIS","","","","LEAVING CERTIFICATE",""
SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
NATIONAL DIPLOMA",""
"821","OGUN","OGUN WEST","LP","Senate","ASHADE MICHAEL OLUSEYI","None","49","M","FSLC WAEC/GCE",""
"822","OGUN","OGUN EAST","LP","Senate","BANJOKO KAZEEM","None","57","M","",""
"","","","","","ADESINA","","","","",""
"823","OGUN","OGUN CENTRAL","LP","Senate","COLLINS ABAYOMI","None","72","M","FSLC WAEC/GCE B.",""
Eng",""
"824","OGUN","OGUN WEST","NNPP","Senate","ABIORO ATHANDE","None","41","M","PRIMARY LEAVING",""
CERTIFICATE WAEC",""
"825","OGUN","OGUN EAST","NNPP","Senate","ADEBANJO WASIU","None","40","M","PRIMARY LEAVING",""
CERTIFICATE SSCE",""
"826","OGUN","OGUN CENTRAL","NNPP","Senate","TELUWO KEHINDE","None","42","M","PRIMARY LEAVING",""
"","","","","","ADEBOWALE DAVID","","","","CERTIFICATE WAEC",""
"827","OGUN","OGUN CENTRAL","NRM","Senate","AKOLADE SUNDAY","None","55","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE",""
"828","OGUN","OGUN WEST","NRM","Senate","OLUYINKA VICTOR","None","40","M","FIRST SCHOOL",""
"","","","","","OLURANTI","","","","LEAVING CERTIFICATE",""
SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
HND ACCOUNTING",""
"829","OGUN","OGUN EAST","NRM","Senate","KUKU ADEWALE STANLEY","None","45","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC/GCE B.Sc/MSc",""
"830","OGUN","OGUN EAST","PDP","Senate","SALAKO DAVE OLADAPO","None","76","M","FSLC AFFIDAVIT",""
WAEC (STATEMENT",""
OF RESULT)",""
BACHELOR OF LAWS",""
"831","OGUN","OGUN CENTRAL","PDP","Senate","ADERINOKUN OLUMIDE","None","50","M","PRIMARY SCHOOL",""
"","","","","","DAVID","","","","TESTIMONIAL  WAEC-",""
GCE",""
"832","OGUN","OGUN WEST","PDP","Senate","DADA GANIYU ADELEKE","None","60","M","WAEC-SC",""
UNIVERSITY OF",""
WALES",""
"833","OGUN","OGUN EAST","PRP","Senate","OTEMOYE DAMILARE","None","60","M","",""
"","","","","","ADEBAYO","","","","",""
"834","OGUN","OGUN CENTRAL","PRP","Senate","OGUNMEEUN HEZEKIAH","None","73","M","PRIMARY SCHOOL",""
"","","","","","AFOLABI","","","","LEAVING CERTIFICATE",""
WEST AFRICAN",""
SENIOR SCHOOL",""
CERTIFICATE OGUN",""
STATE POLYTECHNIC",""
"835","OGUN","OGUN WEST","PRP","Senate","AYENI GABRIEL KOLAWALE","None","58","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WEST AFRICAN",""
SENIOR SCHOOL",""
CERTIFICATE",""
"836","OGUN","OGUN EAST","SDP","Senate","ADENAIKE  ADEWALE","None","62","M","FSLC WAEC",""
"","","","","","AUGUSTINE","","","","",""
"837","OGUN","OGUN CENTRAL","SDP","Senate","YINKA  OLA WILLIAMS","None","44","M","",""
"838","OGUN","OGUN CENTRAL","ZLP","Senate","OSHO  IDIAT TITILOLA","None","60","F","B. Sc.",""
"839","ONDO","ONDO SOUTH","AA","Senate","AKINTAN MICHAEL","None","64","M","F.S.L.C  WAEC BS.C",""
"","","","","","RICHARD","","","","",""
"840","ONDO","ONDO NORTH","AA","Senate","ARIYO OLUWATOSIN","None","50","M","F.L.S.C WAEC OND",""
"","","","","","TAIWO","","","","",""
"841","ONDO","ONDO CENTRAL","ADC","Senate","OLATUNDE OLUTOYE OJO","None","55","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE HND",""
"842","ONDO","ONDO SOUTH","ADC","Senate","LANRE  LAWRENCE","None","49","M","SSCE",""
"843","ONDO","ONDO NORTH","ADC","Senate","OLAIDE IBRAHEEM","None","51","M","FIRST SCHOOL",""
